,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
2,0109Y062,2,OUT,1,0.2,24,45,0.664,0.307,0.427,0.815,-0.554,0.653,3.42,90.0,0.68,NG
3,0109Y062,2,OUT,3,0.2,26,45,0.623,0.313,0.451,0.79,0.559,0.671,3.41,116.0,0.68,NG
7,0109Y062,4,OUT,1,0.2,22,40,0.578,0.337,0.41,0.76,-0.581,0.641,3.31,90.0,0.6,NG
1,0109Y062,1,OUT,8,0.45,20,50,0.509,0.387,0.326,0.713,0.622,0.571,3.13,90.0,0.75,NG
4,0109Y062,2,OUT,4,0.2,20,65,0.33,0.4,0.456,0.574,-0.632,0.676,3.07,129.0,0.98,NG
5,0109Y062,2,OUT,5,0.2,26,65,0.314,0.373,0.496,0.56,0.611,0.704,3.06,141.0,0.98,NG
8,0109Y062,4,OUT,3,0.2,20,40,0.537,0.308,0.332,0.733,-0.555,0.576,3.04,116.0,0.6,NG
6,0109Y062,2,OUT,6,0.2,22,65,0.335,0.379,0.406,0.579,0.616,0.637,2.95,154.0,0.98,NG
0,0109Y062,1,OUT,1,0.2,20,45,0.301,0.311,0.334,0.55,0.558,0.578,2.63,0.0,0.68,NG
